SBV358,MATT CAB CORP,Stand By Vehicle,Unspecified Dirver,358SBVB,2FABP7AVXAX143540,,2010,M,15
SBV359,MATT CAB CORP,Stand By Vehicle,Unspecified Dirver,359SBVB,2FABP7AV4BX108414,,2011,M,15
SBV360,MATT CAB CORP,Stand By Vehicle,Unspecified Dirver,360SBVB,2FABP7AV0BX148828,,2011,M,15
SBV361,"N & S CAR, INC",Stand By Vehicle,Unspecified Dirver,361SBVB,2FAHP70V29X139490,,2009,M,282
SBV362,N & S CAR INC.,Stand By Vehicle,Unspecified Dirver,362SBVH,1FMCU4K30CKB14052,HYB,2012,M,282
SBV365,FOREGO TAXI INC.,Stand By Vehicle,Unspecified Dirver,365SBVC,2FAFP70V18X171014,,2008,M,13
SBV366,FOREGO TAXI CORP,Stand By Vehicle,Unspecified Dirver,366SBVB,2FAFP70V78X177142,,2008,M,13
SBV367,BEN GOR TAXI INC,Stand By Vehicle,Unspecified Dirver,367SVBC,2FAFP70V98X123891,,2008,M,13
SBV369,"N & S CAR,INC.",Stand By Vehicle,Unspecified Dirver,SBV369B,1FMCU4K32CKA85993,HYB,2012,M,282
SBV370,U.T.C. TRANSPORTATION CORP.,Stand By Vehicle,Unspecified Dirver,370SBVB,2FABP7AV5AX113037,,2010,M,105
SBV371,U.T.C. TRANSPORTATION CORP.,Stand By Vehicle,Unspecified Dirver,371SBVB,2FABP7AV9AX113039,,2010,M,105
SBV372,3511 SYSTEMS INC.,Stand By Vehicle,Unspecified Dirver,372SBVB,2FABP7AV4AX129620,,2010,M,327
SBV373,3511 SYSTEMS INC.,Stand By Vehicle,Unspecified Dirver,373SBVB,2FABP7AV3AX131293,,2010,M,327
SBV374,3511 SYSTEMS INC.,Stand By Vehicle,Unspecified Dirver,374SBVH,2FABP7AV1AX104299,,2010,M,327
SBV375,3511 SYSTEMS INC.,Stand By Vehicle,Unspecified Dirver,375SBVB,2FABP7AV7AX104291,,2010,M,327
SBV376,3511 SYSTEMS INC,Stand By Vehicle,Unspecified Dirver,376SBVH,2FABP7AVXAX129623,,2010,M,327
SBV377,3511 SYSTEMS INC,Stand By Vehicle,Unspecified Dirver,377SBVB,2FABP7AV6AX143583,,2010,M,327
SBV378,3511 SYSTEMS INC.,Stand By Vehicle,Unspecified Dirver,378SBVC,2FABP7AV2BX101669,,2011,M,327
SBV379,3511 SYSTEMS INC.,Stand By Vehicle,Unspecified Dirver,379SBVB,2FABP7AVXBX101662,,2011,M,327
SBV380,ANYTHING GOES YELLOW CORP.,Stand By Vehicle,Unspecified Dirver,380SBVC,2FABP7AV8BX102986,,2011,M,102
SBV381,ANYTHING GOES YELLOW CORP.,Stand By Vehicle,Unspecified Dirver,381SBVB,2FAHP70V79X142529,,2009,M,102
